Date,MD confirmed,ME confirmed,MD deaths,ME deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,3,0,0,0
2020-03-07,3,0,0,0
2020-03-08,5,0,0,0
2020-03-09,8,0,0,0
2020-03-10,9,0,0,0
2020-03-11,12,0,0,0
2020-03-12,12,1,0,0
2020-03-13,17,3,0,0
2020-03-14,30,3,0,0
2020-03-15,30,3,0,0
2020-03-16,37,16,0,0
2020-03-17,57,31,0,0
2020-03-18,85,42,1,0
2020-03-19,107,51,1,0
2020-03-20,190,56,2,0
2020-03-21,190,70,3,0
2020-03-22,244,89,3,0
2020-03-23,288,107,3,0
2020-03-24,349,118,4,0
2020-03-25,423,142,4,0
2020-03-26,580,156,4,0
2020-03-27,773,168,5,1
2020-03-28,995,211,10,1
2020-03-29,1242,253,15,3
2020-03-30,1412,275,15,3
2020-03-31,1660,275,17,5
2020-04-01,1985,344,30,7
2020-04-02,2331,376,35,7
